username;tweet;fecha;anuncio;ubicacion;id;sentimiento
GonzaloBuxo;apoyo total las medidas fuerza presidente esta demostrando seriedad;2020-03-19 23:59:45+00:00;Anuncio_1;Cordoba, Argentina;1240790092408672257;
sergistack;usas google chrome lo siento por las mayusculas pero existe un nuevo navegador que es mas rapido y mas privado que chrome bloquea los anuncios y los rastreadores lo cual ahorra tiempo de carga la interfaz es exactamente igual que la de chrome brave lo supera en todo;2020-03-28 20:07:18+00:00;Anuncio_1;Cordoba, Argentina;1243993087531266049;
gacela2019;asi lo hacemos sr presidente;2020-03-19 23:58:50+00:00;Anuncio_1;Cordoba, Argentina;1240789862191685639;
arielonnis;alferdez alferdezprensa necesitamos respuesta tambien para este sector urgente alberto por favor;2020-03-19 23:57:29+00:00;Anuncio_1;Cordoba, Argentina;1240789521425465344;
VNosejubila;msalnacion alferdezprensa los que se fueron a la costa a bariloche a cordobaque se queden ahi hasta sean revisados uno x uno para salir a la ruta inconscientes;2020-03-19 23:47:45+00:00;Anuncio_1;Cordoba, Argentina;1240787074606915585;
KarlaSby;retrotraen aumentos y fijan topes de precios en 2000 productos o se acomodan al precio maximo o al que habia el 6 de marzo se respetara el menor precio argentina gracias alferdez alferdezprensa con un 0800 para denunciar a quienes quieran aprovecharse y sebastianpinera;2020-03-19 23:42:56+00:00;Anuncio_1;Cordoba, Argentina;1240785859785474049;
sentirteenpaz;twitter trucho ni siquiera da la cara debe ser un cheto con ganas de salir de vacaciones o tal vez alguno que llego de viaje pelotudo;2020-03-19 23:40:03+00:00;Anuncio_1;Cordoba, Argentina;1240785137006260225;
Pao09011618;alferdezprensa;2020-03-19 23:37:43+00:00;Anuncio_1;Cordoba, Argentina;1240784546011983872;
DaNKGjt7Yu15JT1;alferdez alferdezprensa tanto que critico al expresidente macrigato ud no esta haciendo nada con la gran escalada de los precios de los alimentos basicos y los de la carne no esta haciendo nada tampoco la vicepresidenta;2020-03-19 23:34:37+00:00;Anuncio_1;Cordoba, Argentina;1240783769025552394;
EeRosana;que tristeza pero tenemos fe gracias por cuidarnos lo vamos hacer entre todo;2020-03-19 23:30:54+00:00;Anuncio_1;Cordoba, Argentina;1240782830470336513;
InigoBiain;no niego lo complicado del momento pero no esta en riesgo la humanidad en la gripe espanola mal llamada murieron unos 100 millones de personas y la gente recuerda mas la segunda guerra e hiroshima con sus pocos muertos que esto;2020-03-19 23:28:05+00:00;Anuncio_1;Cordoba, Argentina;1240782125290459136;
Jose04189625;alferdezprensa que ayuda tendremos los pintores que si no trabajamos no comemos;2020-03-19 23:27:19+00:00;Anuncio_1;Cordoba, Argentina;1240781930485907456;
adelaguzmanok;hay que reconocer su criterio permanente para todo no pierde la oportunidad de demostrar cuan peltudo es fue y sera;2020-03-19 23:27:16+00:00;Anuncio_1;Cordoba, Argentina;1240781919509504001;
Taxi_666;alferdez alferdezprensa horaciorlarreta juanjom estamos completamente desamparados es el unico pais que se ha olvidado de nuestra profesion tambien somos argentinos;2020-03-19 23:26:48+00:00;Anuncio_1;Cordoba, Argentina;1240781799309131787;
VickyBevi;anda a hacerte la paja pelotudo;2020-03-19 23:24:09+00:00;Anuncio_1;Cordoba, Argentina;1240781132498710529;
enzosebastin221;no seas idiota mam;2020-03-19 23:23:13+00:00;Anuncio_1;Cordoba, Argentina;1240780898905272322;
cliba87;;2020-03-19 23:22:49+00:00;Anuncio_1;Cordoba, Argentina;1240780796430102535;
robertofmartin;no lo veo asi inigo la pandemia se extiende y no todos los paises estan en las mismas condiciones para tratar los casos como sucede en alemania y aca no se tomo conciencia siempre es mejor prevenir que lamentar pero no aprendemos jamas;2020-03-19 23:12:32+00:00;Anuncio_1;Cordoba, Argentina;1240778211522424834;
DANIELTIGANI;verificado gracias;2020-03-19 23:11:56+00:00;Anuncio_1;Cordoba, Argentina;1240778059864735747;
loselvira;alferdez alferdezprensa que buenas medidas del gobierno control a los precios gracias por el apoyo de la oposicion;2020-03-19 23:11:24+00:00;Anuncio_1;Cordoba, Argentina;1240777926594961413;
InigoBiain;exagerado la humanidad no esta en peligro hay mucha gente en peligro pero no mas del 8 si fueran todos italianos y hasta el 02 si fueramos todos alemanes;2020-03-19 23:08:48+00:00;Anuncio_1;Cordoba, Argentina;1240777269616017408;
Elizabeth789741;alferdez alferdezprensa por favor qxsea a partir del sabafo la cuarentena los q fuimos hoy a trabajar no hemos podido organizarnos;2020-03-19 23:04:48+00:00;Anuncio_1;Cordoba, Argentina;1240776263910002691;
GamesRedDeer;they say its one of the hardest logic game ever 100 levels global ranking try now nintendo xbox steam;2020-08-01 16:42:33+00:00;Anuncio_1;Cordoba, Argentina;1289602427704897537;
Sof_Vigil;varadosenlima necesitamos volver a nuestras casas necesitamos respuestas aerolineasar felipesola alferdez alferdezprensa telefenoticias todonoticias estamos a la deriva sin ninguna novedad somos mas de 1000 personas en todo peru estamos militrizados;2020-03-19 23:00:28+00:00;Anuncio_1;Cordoba, Argentina;1240775174699520000;
vickyuliyapo;comodice inesazpelicueta que comiencen ya a elaborar remedios genericos asi no nos toma de sorpresa identica respuesta que tuvo el gobierno con la elaboracion del alcohol en gel o barbijos c parte del ministerio de defensa vamosss alberto;2020-03-19 22:57:33+00:00;Anuncio_1;Cordoba, Argentina;1240774441266745345;
MolteniJosefina;los hipotecadosuva necesitamos alivio en este momento de gran angustia;2020-03-19 22:52:27+00:00;Anuncio_1;Cordoba, Argentina;1240773156358537216;
MolteniJosefina;por favor no te olvides de los hipotecadosuva estamos desesperados;2020-03-19 22:48:59+00:00;Anuncio_1;Cordoba, Argentina;1240772285511938049;
cayojulio;paren con el alerta a cada rato gente metan la pelea x el rating en cuarentena en serio no ayudan un carajo con ese formato de mierda alferdezprensa esto es un detalle pero los canales estan alimentando la paranoia y la angustia dicen seamosresponsables y no lo son;2020-03-19 22:37:12+00:00;Anuncio_1;Cordoba, Argentina;1240769316661985280;
MarsalCarlosA;por privado no les doy bola los voy a seguir escrachando por cobrar un servicio que no brindan;2020-03-19 22:34:24+00:00;Anuncio_1;Cordoba, Argentina;1240768615231545345;
lejandro_olguin;reinicien el deco;2020-03-19 22:34:03+00:00;Anuncio_1;Cordoba, Argentina;1240768524928376832;
lejandro_olguin;cualquier cosa actualizarreiniciar el deco;2020-03-19 22:31:45+00:00;Anuncio_1;Cordoba, Argentina;1240767948639424513;
Twittdeunflako;grande albertito hoy y siempre firme junto al pueblo;2020-03-19 22:30:50+00:00;Anuncio_1;Cordoba, Argentina;1240767716467904513;
jose_esperanza1;alferdezprensa alferdez presidente para una cuarentena tendrias que poner a los jubilados una minima de 30000 no podemos comprar nada presi;2020-03-19 22:30:08+00:00;Anuncio_1;Cordoba, Argentina;1240767539543760902;
lejandro_olguin;actualicen el deco;2020-03-19 22:28:04+00:00;Anuncio_1;Cordoba, Argentina;1240767020087607296;
MauroNelo;yo me conformo con que funcione internet 24 hs seguidas;2020-03-19 22:26:37+00:00;Anuncio_1;Cordoba, Argentina;1240766655145394177;
asubea;por favor alferdez alferdezprensa ginesggarcia wadodecorrido msalnacion;2020-03-19 22:24:08+00:00;Anuncio_1;Cordoba, Argentina;1240766028864466950;
belurrutia;por favor no solo es repatriar a los de lima y cusco en peru somos mas argentinos en diferentes zonas alferdez alferdezprensa cerianipablo ayuda;2020-03-19 22:10:23+00:00;Anuncio_1;Cordoba, Argentina;1240762568702132234;
ulirigo_m;otra cosa no les sale recuerdo los periodicos al ganar menem estaba en el palco y la esposa de sola a los gritos desde el suelo pidiendole por felipe al presidente electo en esa vuelta creo que ligo algo en agricultura y el resultado entonces y hoy mas de lo mismo;2020-03-19 22:10:12+00:00;Anuncio_1;Cordoba, Argentina;1240762521654636544;
volta_seca;alferdezprensa;2020-03-19 22:09:20+00:00;Anuncio_1;Cordoba, Argentina;1240762306834976768;
any04_12;todo muy lindo pero mi mama esta en terapia y la voy a ver igual alferdezprensa alferdez asi que me vale madre tu decreto ire caminando pero ire igual;2020-03-19 22:09:15+00:00;Anuncio_1;Cordoba, Argentina;1240762286379282442;
MBCH20;es que no sabe hacer otra cosa no le pidas peras al olmo;2020-03-19 22:06:56+00:00;Anuncio_1;Cordoba, Argentina;1240761702842589184;
sanroselli;no es verdad hbo sigue codificado;2020-03-19 21:59:42+00:00;Anuncio_1;Cordoba, Argentina;1240759882611073029;
InigoBiain;y es politicamente incorrecto pensar que son biotopos diferentes;2020-03-19 21:59:31+00:00;Anuncio_1;Cordoba, Argentina;1240759836813524992;
sergistack;usas google chrome lo siento por las mayusculas pero existe un nuevo navegador que es mas rapido y mas privado que chrome bloquea los anuncios y los rastreadores lo cual ahorra tiempo de carga la interfaz es exactamente igual que la de chrome brave lo supera en todo;2020-03-28 20:07:18+00:00;Anuncio_1;Cordoba, Argentina;1243993087531266049;
robertofmartin;se habla de varios factores como equipamiento medico detencion precoz con una importante red de laboratorios atencion adecuada y una propagacion que afecto a personas de 20 a 50 anos pueden ser conjeturas pero esta claro que hay un estado presente que tomo precauciones;2020-03-19 21:57:49+00:00;Anuncio_1;Cordoba, Argentina;1240759405106388999;
yoopino05;cuervotinelli se rajo cfkargentina se rajo que socios de mierda tenes alferdez alferdezprensa;2020-03-19 21:47:03+00:00;Anuncio_1;Cordoba, Argentina;1240756696894574592;
